adm,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
MN,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
MS,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
MO,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,
MT,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
NE,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
NV,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
NH,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
NJ,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,
NM,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
NY,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
NC,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
ND,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
OH,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
OK,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
OR,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
PA,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
RI,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,
SC,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
SD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
TN,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
TX,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
UT,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
VT,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
